1000x1000 , 3903.3978
1100x1100 , 2436.0519
1200x1200 , 2738.9833
1300x1300 , 3172.2086
1400x1400 , 6897.4782
1500x1500 , 3258.1068
1600x1600 , 3544.3968
1700x1700 , 6508.7339
1800x1800 , 3846.5358
1900x1900 , 4063.3839
2000x2000 , 4971.712
2100x2100 , 8455.949
2200x2200 , 9396.0703
2300x2300 , 9439.8423
2400x2400 , 10086.4261
2500x2500 , 10373.763
2600x2600 , 10798.8924
2700x2700 , 12055.0607
2800x2800 , 11879.7262
2900x2900 , 16758.5847
3000x3000 , 13525.2022
3100x3100 , 13607.196
3200x3200 , 23246.7353
3300x3300 , 13624.7828
3400x3400 , 15263.2595
3500x3500 , 14976.2054
3600x3600 , 16357.4388
3700x3700 , 31491.7013
3800x3800 , 17173.0989
3900x3900 , 17917.7371
4000x4000 , 18748.0175
4100x4100 , 19165.1557
4200x4200 , 20062.9693
4300x4300 , 21788.2112
4400x4400 , 22703.1229
4500x4500 , 25412.2575
4600x4600 , 24435.7363
4700x4700 , 22270.6763
4800x4800 , 24255.7504
4900x4900 , 27742.5955
5000x5000 , 26704.025
5100x5100 , 24701.7417
5200x5200 , 25376.1778
5300x5300 , 24259.4687
5400x5400 , 24452.6343
5500x5500 , 27941.1195
5600x5600 , 27554.3975
5700x5700 , 28487.2652
5800x5800 , 31279.0211
5900x5900 , 29157.3882
6000x6000 , 31112.9423
6100x6100 , 31467.7149
6200x6200 , 31753.7406
6300x6300 , 30567.9985
6400x6400 , 32981.4819
6500x6500 , 35023.9619
6600x6600 , 37386.615
6700x6700 , 43513.2621
6800x6800 , 35061.3999
6900x6900 , 33269.2299
7000x7000 , 36787.3615
7100x7100 , 37185.8203
7200x7200 , 34117.4778
7300x7300 , 35865.4487
7400x7400 , 37207.7438
7500x7500 , 34745.6416
7600x7600 , 35084.0663
7700x7700 , 36307.6343
7800x7800 , 36902.6164
7900x7900 , 36269.9039
8000x8000 , 38138.7155
8100x8100 , 37987.3185
8200x8200 , 43475.6772
8300x8300 , 38436.8345
8400x8400 , 46365.2866
8500x8500 , 40320.613
8600x8600 , 43185.8932
8700x8700 , 43537.6995
8800x8800 , 41703.6926
8900x8900 , 40788.1014
9000x9000 , 42239.1139
9100x9100 , 47590.9797
9200x9200 , 49605.4515
9300x9300 , 54573.1418
9400x9400 , 51292.5729
9500x9500 , 49243.8852
9600x9600 , 56418.8946
9700x9700 , 57284.1147
9800x9800 , 49154.7716
9900x9900 , 45762.9415
10000x10000 , 46609.7832
